whales; massachusetts; shipping; watched; scientists
moons; ice; lunar; pentagons; waters
havels; smoking; czechs; cigarette; cancers
sudanese; mahdis; khartoums; sudans; eritreas
disney; films; hired; studios; hollywoods
des; les; las; ete; que
scotts; clubbed; musicians; rais; kings
forests; bangkoks; rails; cars; agriculture
sabahs; muhammads; keningau; malaysias; stormed
tibets; dalais; lhasas; lamas; tibetans
guatemalas; urngs; guatemalans; arzus; peace
friedmans; jews; hebrons; israels; caved
osce; milutinovic; gonzalezs; belgrade; serbias
bodoe; training; indias; assams; blasts
palestinians; settlers; israeli; hebrons; soldiers
sandinistas; alemans; nicaraguas; ortegas; nicaraguans
ballooning; bransons; virgins; copilots; piccards
hashimotos; japans; aseans; indonesias; japanese
bullimore; australians; rescue; yachts; dubois
fujimoris; mrtas; hostages; residents; rebels
dianas; landmines; angolas; princesses; banned
grobbelaars; vincents; games; segers; calverts
cosby; ennis; sons; police; los
tangs; singapore; paps; injunction; gohs
clubbed; golfing; balls; centuries; shafts
harrimans; churchill; pamela; ambassadors; paris
bucarams; ecuadors; alarcons; arteagas; congresses
oils; crudely; ukraine; georgias; tonnes
films; production; patients; english; shining
uighurs; xinjiangs; riots; chinese; police
cypriots; turkish; greeks; varosha; cyprus
drugs; marijuanas; mexicos; mexicans; gutierrezs
koreas; kims; koreans; norths; kangs
eurostats; unemployed; joblessness; ratings; registered
morie; nop; nov; oct; jans
earthquake; richters; scaling; irans; quettas
waste; dumped; cleanups; nucleares; superfunds
jagans; guyanas; manley; hinds; caribbeans
albanians; italy; italians; vlores; albanias
rebels; sarande; towns; berishas; army
chocolate; easter; eggs; pounds; markets
teresas; mothers; nirmalas; sisters; nuns
refugees; boats; unhcrs; ubundu; albanians
azerbaijans; azeris; karabakhs; armenias; armenians
brexs; busangs; golds; torontos; stocks
simpsons; goldmans; football; courts; items
popes; vaticans; churches; sarajevos; catholic
schools; hepatitis; strawberry; disease; michigans
pending; amendments; constitutional; approval; sharifs
mcdougals; whitewater; clintons; starrs; sentenced
ershads; jatiyas; zinat; hossain; party
fargo; rivers; flooded; dikes; waters
business; competition; labors; britains; markets
msts; cardosos; landes; brazils; landless
perafans; drugs; colombias; colombians; venezuelas
patted; average; sales; lows; seens
cypriots; greeks; turkish; cyprus; pilgrimage
labs; conning; holdings; snps; gains
ellens; gay; abcs; characters; tvs
title; native; leases; hansons; landes
symingtons; loans; extortion; trials; governors
klerks; ancs; des; commission; tutus
natos; jointed; russias; permanent; councils
swiss; mobutus; switzerlands; banking; assets
lttes; vavuniyas; tamils; norths; sries
ltds; kongs; hongs; chinas; macaus
mottas; cardosos; folhas; reelection; allegations
sierras; leone; coups; nigerians; kabbahs
flinns; discharged; airing; honored; zigo
palestinians; kuttabs; arafats; authority; journalists
pct; pdis; ppps; golkars; totalling
sierras; leone; evacuation; coups; freetowns
elephants; ivory; endanger; asians; citing
brazzaville; nguessos; sassous; lissoubas; frenchs
japans; japanese; akihitos; brazils; tokyos
baraks; labors; rabins; peres; netanyahus
campbell; hospital; cortes; overdose; naomi
smarting; cars; motors; vehicles; marks
kansis; cias; fbis; shooting; pakistans
financial; imfs; growths; multilateral; development
yabrans; menems; cabezas; jassans; murdered
roswell; alienated; ufos; airing; ballooning
lazarenkos; kuchmas; ukraine; ukrainians; resigning
quake; venezuelas; martinezs; cumanas; building
haughey; dunne; tribunals; pounds; stores
raisios; benecols; mcneils; cholesterol; production
diabetes; insulin; disease; bloods; epidemic
versace; cunanans; miamis; beaches; fashioned
gilfords; saudis; nurse; arabias; parris
pols; pots; rouge; khmers; sens
refugees; bangladeshs; unhcrs; repatriations; camping
elvis; fans; presley; kings; concerted
apples; microsofts; software; clones; computer
dianas; princesses; dodie; bosnias; mines
anjouans; islands; secessionists; comoros; moheli
alcoholism; swedens; bottle; monopoly; swedish
